,Old Type,Positive,Negative,No,Single Sign,Reciprocal Sign
0,Reciprocal Sign,0.2062780269058296,0.26905829596412556,0.04484304932735426,0.06726457399103139,0.4125560538116592
1,Single Sign,0.33691756272401435,0.3010752688172043,0.12724014336917563,0.18458781362007168,0.05017921146953405
2,No,0.28771929824561404,0.4280701754385965,0.15789473684210525,0.08421052631578947,0.042105263157894736
3,Negative,0.21866960676221978,0.6383682469680264,0.07644248438074237,0.03123851525174568,0.03528114663726571
4,Positive,0.4737505249895002,0.32969340613187736,0.09491810163796724,0.06341873162536749,0.03821923561528769
