,Old Type,Positive,Negative,No,Single Sign,Reciprocal Sign
0,Reciprocal Sign,0.3275862068965517,0.3879310344827586,0.02586206896551724,0.07758620689655173,0.1810344827586207
1,Single Sign,0.31666666666666665,0.4714285714285714,0.08571428571428572,0.09761904761904762,0.02857142857142857
2,No,0.18421052631578946,0.7631578947368421,0.05263157894736842,0.0,0.0
3,Negative,0.18074074074074073,0.7422222222222222,0.047407407407407405,0.008888888888888889,0.02074074074074074
4,Positive,0.3678977272727273,0.48863636363636365,0.07386363636363637,0.045454545454545456,0.024147727272727272
