,Old Type,Positive,Negative,No,Single Sign,Reciprocal Sign
0,Reciprocal Sign,0.16956521739130434,0.4434782608695652,0.06956521739130435,0.043478260869565216,0.27391304347826084
1,Single Sign,0.29086538461538464,0.29086538461538464,0.13701923076923078,0.21394230769230768,0.0673076923076923
2,No,0.31123388581952116,0.43646408839779005,0.16206261510128914,0.05156537753222836,0.03867403314917127
3,Negative,0.2143727161997564,0.603836784409257,0.08556638246041413,0.04232643118148599,0.05389768574908648
4,Positive,0.49633699633699635,0.3141025641025641,0.10256410256410256,0.05402930402930403,0.03296703296703297
