,Old Type,Positive,Negative,No,Single Sign,Reciprocal Sign
0,Reciprocal Sign,0.20050125313283207,0.3659147869674185,0.10275689223057644,0.05764411027568922,0.2731829573934837
1,Single Sign,0.2571428571428571,0.36428571428571427,0.12380952380952381,0.18571428571428572,0.06904761904761905
2,No,0.31277056277056275,0.4036796536796537,0.16774891774891776,0.06926406926406926,0.046536796536796536
3,Negative,0.2575493612078978,0.5542973286875726,0.10249709639953543,0.032229965156794424,0.053426248548199766
4,Positive,0.47000618429189855,0.3079777365491651,0.13172541743970315,0.05442176870748299,0.035868893011750155
