,Old Type,Positive,Negative,No,Single Sign,Reciprocal Sign
0,Reciprocal Sign,0.23015873015873015,0.12698412698412698,0.05555555555555555,0.16666666666666666,0.42063492063492064
1,Single Sign,0.3602150537634409,0.29301075268817206,0.08064516129032258,0.21236559139784947,0.053763440860215055
2,No,0.3606010016694491,0.4056761268781302,0.11519198664440734,0.05676126878130217,0.06176961602671119
3,Negative,0.2314781992201347,0.6004962779156328,0.0836582772066643,0.02871322226160936,0.05565402339595888
4,Positive,0.6005116959064327,0.2225877192982456,0.06578947368421052,0.06432748538011696,0.04678362573099415
